"postId","date","title","videoFile","youtubeUrl","youtubeId"
"7524582d2ddc","2026-04-15","2026-04-15 貼文","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1621611825727867.mp4","",""
"f51055506b7d","2026-04-15","4/12｜星期日","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1469628164803558.mp4","",""
"9d734ff1ee6c","2026-04-15","4/12｜星期日","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1469628164803558.mp4","",""
"90f9f99f2b8c","2026-04-14","4/11｜星期六","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/26598128036495532.mp4","",""
"a5a2b9989ad7","2026-04-14","4/11｜星期六","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/26598128036495532.mp4","",""
"8c8aa9944bec","2026-04-13","4/10｜星期五","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/25475255225484125.mp4","",""
"a491938e76fb","2026-04-13","4/10｜星期五","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/25475255225484125.mp4","",""
"c6a262a8aa9d","2026-04-12","4/9｜星期四","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2548597918931891.mp4","",""
"9e29addb8bf9","2026-04-11","4/8｜星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/938205705695638.mp4","",""
"2d9c499e56da","2026-04-10","4/7｜星期二","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1119796404543698.mp4","",""
"3e0fdac1378c","2026-04-10","4/7｜星期二","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1119796404543698.mp4","",""
"071af61c65d6","2026-04-09","4/6｜星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2775775009440044.mp4","",""
"dd63a4609dda","2026-04-09","4/6｜星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2775775009440044.mp4","",""
"7680624bdfa7","2026-04-08","4/5｜星期日","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1500632124985647.mp4","",""
"514acb40530b","2026-04-08","4/5｜星期日","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1500632124985647.mp4","",""
"40617264c782","2026-04-07","4/4｜星期六","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1262309492681717.mp4","",""
"6ba596fefc7d","2026-04-06","4/3｜星期五","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1465956621888208.mp4","",""
"cc5196d6bf04","2026-04-06","4/3｜星期五","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1465956621888208.mp4","",""
"acd8b582d163","2026-04-05","2026.4.2","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2808198489522905.mp4","",""
"b4aed2677ce5","2026-04-05","2026.4.2","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2808198489522905.mp4","",""
"a8bce32b6d6e","2026-04-04","4月一日｜星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/981206377807977.mp4","",""
"c15cd2593580","2026-04-03","3/31｜星期二","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1424386658913807.mp4","",""
"c15cd2593580","2026-04-03","3/31｜星期二","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1227191776066761.mp4","",""
"e743369493f0","2026-04-02","3/30｜星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2032125787700131.mp4","",""
"7fc49b996a33","2026-04-02","3/30｜星期一","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2032125787700131.mp4","",""
"953ef4533469","2026-04-01","3/29｜星期日（沒有sora後的選擇）","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1210396131303299.mp4","",""
"6bd78b74b7f0","2026-04-01","2026.4.1 （上品丹法節次）","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1393263902485295.mp4","",""
"a76592ec4aa2","2026-03-30","3/28、星期六、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1621305069085699.mp4","",""
"c1a6fe14b2d3","2026-03-30","3/28、星期六、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1621305069085699.mp4","",""
"e4ebc9d66804","2026-03-29","2026-03-29 貼文","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/4415273425372603.mp4","",""
"0e52745b430f","2026-03-29","3/27、星期五、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/802714379091017.mp4","",""
"36e0ebd9a32c","2026-03-28","3/26、星期四、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2042917346285570.mp4","",""
"fc482985c53b","2026-03-28","3/26、星期四、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2042917346285570.mp4","",""
"f3b504fa7b02","2026-03-27","3/25、星期三，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/937348232029739.mp4","",""
"47bb66764f4a","2026-03-26","3/24、星期二。","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1449869203185630.mp4","",""
"2dd11142250c","2026-03-26","3/24、星期二。","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1449869203185630.mp4","",""
"7d5bedee543d","2026-03-26","2026.3.26","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1309887224313983.mp4","",""
"507946c38c9b","2026-03-26","2026.3.26","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1309887224313983.mp4","",""
"583389a7a48a","2026-03-25","3/23、星期一，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/954581676938285.mp4","",""
"7a7e1bfe7d0f","2026-03-25","2026.3.25","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1487626682987066.mp4","",""
"baafb7e25b6e","2026-03-25","2026.3.25","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1487626682987066.mp4","",""
"1a6c53ee72ad","2026-03-25","2026.3.25","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1338084241496745.mp4","",""
"b1285a004f90","2026-03-24","3/22・星期日","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/2143950936359720.mp4","",""
"79ac92607a7e","2026-03-23","3/21、星期六、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/924538897171497.mp4","",""
"1325e9cb3c15","2026-03-23","2026.3.23","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1349110816977093.mp4","",""
"aa09b4a82777","2026-03-23","2026.3.23","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1349110816977093.mp4","",""
"eaf43d141c55","2026-03-22","3/20、星期五、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1428714038304002.mp4","",""
"7d5c348541e8","2026-03-22","3/20、星期五、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1428714038304002.mp4","",""
"979304f2e659","2026-03-21","3/19｜星期四","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1223472976609098.mp4","",""
"057000226e66","2026-03-21","3/19｜星期四","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1223472976609098.mp4","",""
"468dbdf19133","2026-03-21","2026.3.20","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/919255407506753.mp4","",""
"f9bb25b9f4ca","2026-03-21","2026.3.20","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/919255407506753.mp4","",""
"21d72162bcb3","2026-03-20","3/18｜星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1522531522794691.mp4","",""
"d741f7a148da","2026-03-20","3/18｜星期三","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1522531522794691.mp4","",""
"7b1593280582","2026-03-20","2026.3.20","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1388410336634964.mp4","",""
"876b09fa8e53","2026-03-20","2026.3.20","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1388410336634964.mp4","",""
"d6434b024b58","2026-03-19","3/17、是星期二、","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1323116462982124.mp4","",""
"bb342102e2dd","2026-03-18","今天3/16、是星期一，","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/921753027256962.mp4","",""
"dcf1e058b44e","2026-03-18","3/15、今天星期日！","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1831063734248936.mp4","",""
"2a0c69578774","2026-03-18","2026.3.18 第二十六講","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1437416311187306.mp4","",""
"d9553149f656","2026-03-18","2026.3.18 第二十六講","outputs/facebook_posts/_extracted/your_facebook_activity/posts/media/videos/1437416311187306.mp4","",""
